ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
249091643843999,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-15,"José Antonio Kast","Las diferentes etnias saben quienes son los verdaderos intolerantes. Ellos votan sin miedo por un futuro diferente ¿Y tu? #Vota2 #VotaKast",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003005},{""age"":""35-44"",""gender"":""female"",""percentage"":0.119083},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00263},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004508},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003381},{""age"":""65+"",""gender"":""male"",""percentage"":0.042449},{""age"":""55-64"",""gender"":""female"",""percentage"":0.089782},{""age"":""18-24"",""gender"":""female"",""percentage"":0.01991},{""age"":""65+"",""gender"":""female"",""percentage"":0.065364},{""age"":""25-34"",""gender"":""female"",""percentage"":0.127724},{""age"":""35-44"",""gender"":""male"",""percentage"":0.103306},{""age"":""55-64"",""gender"":""male"",""percentage"":0.068745},{""age"":""18-24"",""gender"":""male"",""percentage"":0.024793},{""age"":""45-54"",""gender"":""male"",""percentage"":0.083772},{""age"":""25-34"",""gender"":""male"",""percentage"":0.143125},{""age"":""45-54"",""gender"":""female"",""percentage"":0.098047},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000376}","{""region"":""Los R\u00edos Region"",""percentage"":0.023074},{""region"":""Arica y Parinacota Region"",""percentage"":0.010793},{""region"":""Valpara\u00edso Region"",""percentage"":0.092296},{""region"":""Ays\u00e9n Region"",""percentage"":0.00521},{""region"":""Antofagasta Region"",""percentage"":0.041682},{""region"":""Araucan\u00eda Region"",""percentage"":0.047637},{""region"":""Atacama Region"",""percentage"":0.016003},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.107555},{""region"":""Coquimbo Region"",""percentage"":0.031634},{""region"":""O'Higgins Region"",""percentage"":0.039821},{""region"":""Los Lagos Region"",""percentage"":0.05508},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.013398},{""region"":""Maule Region"",""percentage"":0.049498},{""region"":""Santiago Metropolitan Region"",""percentage"":0.449572},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.016747}","facebook,instagram","lower_bound: 1000001",es
4967226533309353,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-16,"José Antonio Kast","Las diferentes etnias saben quienes son los verdaderos intolerantes. Ellos votan sin miedo por un futuro diferente ¿Y tu? #Vota2 #VotaKast",,,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 500, upper_bound: 599",USD,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002049},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003121},{""age"":""65+"",""gender"":""male"",""percentage"":0.048132},{""age"":""25-34"",""gender"":""female"",""percentage"":0.069005},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.009796},{""age"":""55-64"",""gender"":""male"",""percentage"":0.080962},{""age"":""35-44"",""gender"":""male"",""percentage"":0.172952},{""age"":""25-34"",""gender"":""male"",""percentage"":0.105532},{""age"":""35-44"",""gender"":""female"",""percentage"":0.125972},{""age"":""45-54"",""gender"":""male"",""percentage"":0.115744},{""age"":""55-64"",""gender"":""female"",""percentage"":0.096072},{""age"":""65+"",""gender"":""female"",""percentage"":0.064027},{""age"":""45-54"",""gender"":""female"",""percentage"":0.097096},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.007299},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002241}","{""region"":""Santiago Metropolitan Region"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",es
947657389467570,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-16,"José Antonio Kast","Tenemos un plan concreto para tu sueño de la casa propia se haga realidad ¿Quieres conocerlo?  #Vota2 #VotaKast",,,,"lower_bound: 200000, upper_bound: 249999","lower_bound: 3000, upper_bound: 3499",USD,"{""age"":""13-17"",""gender"":""unknown"",""percentage"":8.8e-5},{""age"":""35-44"",""gender"":""female"",""percentage"":0.127093},{""age"":""13-17"",""gender"":""male"",""percentage"":0.000526},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000738},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001185},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001595},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002149},{""age"":""45-54"",""gender"":""female"",""percentage"":0.119854},{""age"":""45-54"",""gender"":""male"",""percentage"":0.12168},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000392},{""age"":""25-34"",""gender"":""female"",""percentage"":0.086155},{""age"":""55-64"",""gender"":""female"",""percentage"":0.11168},{""age"":""35-44"",""gender"":""male"",""percentage"":0.142802},{""age"":""25-34"",""gender"":""male"",""percentage"":0.104921},{""age"":""65+"",""gender"":""male"",""percentage"":0.040486},{""age"":""65+"",""gender"":""female"",""percentage"":0.052529},{""age"":""55-64"",""gender"":""male"",""percentage"":0.085901},{""age"":""13-17"",""gender"":""female"",""percentage"":0.000226}","{""region"":""Valpara\u00edso Region"",""percentage"":0.166071},{""region"":""Atacama Region"",""percentage"":0.025111},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.197919},{""region"":""Coquimbo Region"",""percentage"":0.042891},{""region"":""O'Higgins Region"",""percentage"":0.082385},{""region"":""Maule Region"",""percentage"":9.9e-5},{""region"":""Santiago Metropolitan Region"",""percentage"":0.485524}","facebook,instagram","lower_bound: 1000001",es
587420168989603,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-16,"José Antonio Kast","A Víctor Melinao le quemaron sus sueños los terroristas, pero el no tiene miedo de decir lo que piensa ¿Y tu?
No te equivoques  #Vota2 #VotaKast",,,,"lower_bound: 200000, upper_bound: 249999","lower_bound: 3500, upper_bound: 3999",USD,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001178},{""age"":""45-54"",""gender"":""female"",""percentage"":0.091235},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000134},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004384},{""age"":""18-24"",""gender"":""male"",""percentage"":0.014801},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002882},{""age"":""65+"",""gender"":""female"",""percentage"":0.053942},{""age"":""35-44"",""gender"":""male"",""percentage"":0.104835},{""age"":""18-24"",""gender"":""female"",""percentage"":0.01894},{""age"":""55-64"",""gender"":""female"",""percentage"":0.078696},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002346},{""age"":""35-44"",""gender"":""female"",""percentage"":0.155572},{""age"":""25-34"",""gender"":""male"",""percentage"":0.121055},{""age"":""25-34"",""gender"":""female"",""percentage"":0.184537},{""age"":""45-54"",""gender"":""male"",""percentage"":0.064029},{""age"":""65+"",""gender"":""male"",""percentage"":0.039717},{""age"":""55-64"",""gender"":""male"",""percentage"":0.059807},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001905},{""age"":""13-17"",""gender"":""female"",""percentage"":6.0e-6}","{""region"":""Los R\u00edos Region"",""percentage"":0.018205},{""region"":""Arica y Parinacota Region"",""percentage"":0.01084},{""region"":""Valpara\u00edso Region"",""percentage"":0.097952},{""region"":""Ays\u00e9n Region"",""percentage"":0.005044},{""region"":""Antofagasta Region"",""percentage"":0.042059},{""region"":""Araucan\u00eda Region"",""percentage"":0.050002},{""region"":""Atacama Region"",""percentage"":0.013889},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.100799},{""region"":""Coquimbo Region"",""percentage"":0.0284},{""region"":""O'Higgins Region"",""percentage"":0.0448},{""region"":""Los Lagos Region"",""percentage"":0.044133},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.012437},{""region"":""Maule Region"",""percentage"":0.048029},{""region"":""Santiago Metropolitan Region"",""percentage"":0.464397},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.019012}","facebook,instagram","lower_bound: 1000001",es
247020067519741,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-16,"José Antonio Kast","Eramos 4 hermanos emprendedores de la Florida, hasta que un día, en la puerta del local, mataron a los 2 menores frente a mis padres… Yo no quiero tener más miedo ¿Y tu?
No te equivoques  #Vota2 #VotaKast",,,,"lower_bound: 90000, upper_bound: 99999","lower_bound: 1000, upper_bound: 1499",USD,"{""age"":""13-17"",""gender"":""male"",""percentage"":0.000143},{""age"":""45-54"",""gender"":""female"",""percentage"":0.106311},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000198},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000474},{""age"":""65+"",""gender"":""male"",""percentage"":0.035147},{""age"":""25-34"",""gender"":""female"",""percentage"":0.081833},{""age"":""55-64"",""gender"":""female"",""percentage"":0.092336},{""age"":""35-44"",""gender"":""male"",""percentage"":0.167556},{""age"":""25-34"",""gender"":""male"",""percentage"":0.122247},{""age"":""13-17"",""gender"":""female"",""percentage"":0.000121},{""age"":""65+"",""gender"":""female"",""percentage"":0.039335},{""age"":""45-54"",""gender"":""male"",""percentage"":0.142714},{""age"":""35-44"",""gender"":""female"",""percentage"":0.110874},{""age"":""55-64"",""gender"":""male"",""percentage"":0.097747},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001367},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000794},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000783},{""age"":""13-17"",""gender"":""unknown"",""percentage"":2.2e-5}","{""region"":""Valpara\u00edso Region"",""percentage"":0.176368},{""region"":""Atacama Region"",""percentage"":0.027259},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.219337},{""region"":""Coquimbo Region"",""percentage"":0.044882},{""region"":""O'Higgins Region"",""percentage"":0.090699},{""region"":""Maule Region"",""percentage"":8.9e-5},{""region"":""Santiago Metropolitan Region"",""percentage"":0.441366}","facebook,instagram","lower_bound: 1000001",es
436761527976473,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-16,"José Antonio Kast","Palabra de alcalde : ¿A quién le pasaría Rodolfo Carter las llaves de su casa? #Vota2 #VotaKast,Palabra de alcalde : ¿A quién le pasaría Rodolfo Carter las llaves de su casa? #Vota2 #VotaKast",,,,"lower_bound: 600000, upper_bound: 699999","lower_bound: 9000, upper_bound: 9999",USD,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001388},{""age"":""55-64"",""gender"":""female"",""percentage"":0.113347},{""age"":""65+"",""gender"":""female"",""percentage"":0.054898},{""age"":""35-44"",""gender"":""female"",""percentage"":0.165112},{""age"":""45-54"",""gender"":""female"",""percentage"":0.13635},{""age"":""25-34"",""gender"":""female"",""percentage"":0.104039},{""age"":""35-44"",""gender"":""male"",""percentage"":0.12081},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002252},{""age"":""45-54"",""gender"":""male"",""percentage"":0.098394},{""age"":""65+"",""gender"":""male"",""percentage"":0.033138},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001608},{""age"":""25-34"",""gender"":""male"",""percentage"":0.093877},{""age"":""55-64"",""gender"":""male"",""percentage"":0.073621},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000428},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000738}","{""region"":""Valpara\u00edso Region"",""percentage"":0.168618},{""region"":""Atacama Region"",""percentage"":0.02569},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.209219},{""region"":""Coquimbo Region"",""percentage"":0.042914},{""region"":""O'Higgins Region"",""percentage"":0.088648},{""region"":""Maule Region"",""percentage"":8.9e-5},{""region"":""Santiago Metropolitan Region"",""percentage"":0.464814},{""region"":""Unknown"",""percentage"":6.0e-6}","facebook,instagram","lower_bound: 1000001",es
343187507171845,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-15,"José Antonio Kast","A Víctor Melinao le quemaron sus sueños los terroristas, pero el no tiene miedo de decir lo que piensa ¿Y tu?
No te equivoques  #Vota2 #VotaKast",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003209},{""age"":""18-24"",""gender"":""male"",""percentage"":0.013904},{""age"":""18-24"",""gender"":""female"",""percentage"":0.017112},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002139},{""age"":""65+"",""gender"":""male"",""percentage"":0.04492},{""age"":""35-44"",""gender"":""male"",""percentage"":0.094118},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005348},{""age"":""35-44"",""gender"":""female"",""percentage"":0.122995},{""age"":""65+"",""gender"":""female"",""percentage"":0.087701},{""age"":""55-64"",""gender"":""male"",""percentage"":0.062032},{""age"":""25-34"",""gender"":""female"",""percentage"":0.129412},{""age"":""45-54"",""gender"":""female"",""percentage"":0.091979},{""age"":""55-64"",""gender"":""female"",""percentage"":0.114439},{""age"":""25-34"",""gender"":""male"",""percentage"":0.116578},{""age"":""45-54"",""gender"":""male"",""percentage"":0.090909},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003209}","{""region"":""Los R\u00edos Region"",""percentage"":0.012793},{""region"":""Arica y Parinacota Region"",""percentage"":0.007463},{""region"":""Valpara\u00edso Region"",""percentage"":0.08742},{""region"":""Ays\u00e9n Region"",""percentage"":0.00533},{""region"":""Antofagasta Region"",""percentage"":0.030917},{""region"":""Araucan\u00eda Region"",""percentage"":0.051173},{""region"":""Atacama Region"",""percentage"":0.012793},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.100213},{""region"":""Coquimbo Region"",""percentage"":0.035181},{""region"":""O'Higgins Region"",""percentage"":0.037313},{""region"":""Los Lagos Region"",""percentage"":0.020256},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.00533},{""region"":""Maule Region"",""percentage"":0.049041},{""region"":""Santiago Metropolitan Region"",""percentage"":0.531983},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.012793}","facebook,instagram","lower_bound: 1000001",es
658426388865456,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-16,"José Antonio Kast","A Víctor Melinao le quemaron sus sueños los terroristas, pero el no tiene miedo de decir lo que piensa ¿Y tu?
No te equivoques  #Vota2 #VotaKast",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000294},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001248},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002129},{""age"":""65+"",""gender"":""female"",""percentage"":0.025547},{""age"":""35-44"",""gender"":""female"",""percentage"":0.140802},{""age"":""25-34"",""gender"":""female"",""percentage"":0.19307},{""age"":""45-54"",""gender"":""female"",""percentage"":0.073631},{""age"":""55-64"",""gender"":""male"",""percentage"":0.035604},{""age"":""25-34"",""gender"":""male"",""percentage"":0.23117},{""age"":""65+"",""gender"":""male"",""percentage"":0.020775},{""age"":""35-44"",""gender"":""male"",""percentage"":0.156365},{""age"":""55-64"",""gender"":""female"",""percentage"":0.049112},{""age"":""45-54"",""gender"":""male"",""percentage"":0.067171},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002202},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000881}","{""region"":""Los R\u00edos Region"",""percentage"":0.095207},{""region"":""Araucan\u00eda Region"",""percentage"":0.136208},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.194718},{""region"":""O'Higgins Region"",""percentage"":0.212665},{""region"":""Los Lagos Region"",""percentage"":0.245641},{""region"":""Maule Region"",""percentage"":0.115561}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",es
464639175076862,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-15,"José Antonio Kast","Eramos 4 hermanos emprendedores de la Florida, hasta que un día, en la puerta del local, mataron a los 2 menores frente a mis padres… Yo no quiero tener más miedo ¿Y tu?
No te equivoques  #Vota2 #VotaKast",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003012},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003012},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003012},{""age"":""35-44"",""gender"":""male"",""percentage"":0.054217},{""age"":""65+"",""gender"":""male"",""percentage"":0.045181},{""age"":""35-44"",""gender"":""female"",""percentage"":0.159639},{""age"":""45-54"",""gender"":""male"",""percentage"":0.060241},{""age"":""45-54"",""gender"":""female"",""percentage"":0.138554},{""age"":""55-64"",""gender"":""male"",""percentage"":0.069277},{""age"":""25-34"",""gender"":""female"",""percentage"":0.156627},{""age"":""55-64"",""gender"":""female"",""percentage"":0.138554},{""age"":""65+"",""gender"":""female"",""percentage"":0.087349},{""age"":""25-34"",""gender"":""male"",""percentage"":0.075301},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006024}","{""region"":""Valpara\u00edso Region"",""percentage"":0.153614},{""region"":""Atacama Region"",""percentage"":0.024096},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.207831},{""region"":""Coquimbo Region"",""percentage"":0.039157},{""region"":""O'Higgins Region"",""percentage"":0.087349},{""region"":""Santiago Metropolitan Region"",""percentage"":0.487952}","facebook,instagram","lower_bound: 1000001",es
3132051117121472,881095048648989,"José Antonio Kast",2021-12-15,2021-12-15,2021-12-16,"José Antonio Kast",,,,,"lower_bound: 900000, upper_bound: 999999","lower_bound: 4500, upper_bound: 4999",USD,"{""age"":""55-64"",""gender"":""female"",""percentage"":0.020102},{""age"":""45-54"",""gender"":""female"",""percentage"":0.210657},{""age"":""35-44"",""gender"":""female"",""percentage"":0.239243},{""age"":""18-24"",""gender"":""female"",""percentage"":0.197394},{""age"":""25-34"",""gender"":""female"",""percentage"":0.332544},{""age"":""13-17"",""gender"":""female"",""percentage"":6.1e-5}","{""region"":""Los R\u00edos Region"",""percentage"":0.024793},{""region"":""Arica y Parinacota Region"",""percentage"":0.01733},{""region"":""Valpara\u00edso Region"",""percentage"":0.087651},{""region"":""Ays\u00e9n Region"",""percentage"":0.006707},{""region"":""Antofagasta Region"",""percentage"":0.044956},{""region"":""Araucan\u00eda Region"",""percentage"":0.061082},{""region"":""Atacama Region"",""percentage"":0.020143},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.122494},{""region"":""Coquimbo Region"",""percentage"":0.038598},{""region"":""O'Higgins Region"",""percentage"":0.058709},{""region"":""Los Lagos Region"",""percentage"":0.060546},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.009863},{""region"":""Maule Region"",""percentage"":0.072156},{""region"":""Santiago Metropolitan Region"",""percentage"":0.348801},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.026173}","facebook,instagram","lower_bound: 1000001",es
