ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
867721653927072,386634201382499,"Marco Enriquez-Ominami",2021-11-17,2021-11-17,2021-11-19,"Partido Progresista de Chile - PRO","Cuidemos ese sueño de un Chile distinto, más justo y solidario. Cuidémoslo y defendámoslo porque todavía no está logrado. Por eso #Vota6, si lo hacemos juntos #ElCambioEsHoy",,,,"lower_bound: 4000, upper_bound: 4999","lower_bound: 45000, upper_bound: 49999",CLP,"{""age"":""65+"",""gender"":""female"",""percentage"":0.053584},{""age"":""18-24"",""gender"":""female"",""percentage"":0.012628},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000341},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001024},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001706},{""age"":""65+"",""gender"":""male"",""percentage"":0.024915},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002048},{""age"":""45-54"",""gender"":""male"",""percentage"":0.067577},{""age"":""55-64"",""gender"":""female"",""percentage"":0.080546},{""age"":""55-64"",""gender"":""male"",""percentage"":0.040273},{""age"":""45-54"",""gender"":""female"",""percentage"":0.123891},{""age"":""25-34"",""gender"":""male"",""percentage"":0.164164},{""age"":""35-44"",""gender"":""female"",""percentage"":0.130717},{""age"":""25-34"",""gender"":""female"",""percentage"":0.166553},{""age"":""35-44"",""gender"":""male"",""percentage"":0.108191},{""age"":""18-24"",""gender"":""male"",""percentage"":0.020819},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001024}","{""region"":""Los R\u00edos Region"",""percentage"":0.751698},{""region"":""Antofagasta Region"",""percentage"":0.004076},{""region"":""Araucan\u00eda Region"",""percentage"":0.024457},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.026155},{""region"":""Coquimbo Region"",""percentage"":0.004755},{""region"":""Los Lagos Region"",""percentage"":0.06216},{""region"":""Santiago Metropolitan Region"",""percentage"":0.07269},{""region"":""Arica y Parinacota Region"",""percentage"":0.002038},{""region"":""Valpara\u00edso Region"",""percentage"":0.018342},{""region"":""Ays\u00e9n Region"",""percentage"":0.002717},{""region"":""Atacama Region"",""percentage"":0.003057},{""region"":""O'Higgins Region"",""percentage"":0.007813},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.004755},{""region"":""Maule Region"",""percentage"":0.01087},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.004416}",instagram,"lower_bound: 10001, upper_bound: 50000",es
693456868725621,386634201382499,"Marco Enriquez-Ominami",2021-11-17,2021-11-17,2021-11-18,"Partido Progresista de Chile - PRO","Al extremista Nº1, hay que enfrentarlo con coraje. ¿Siono? #ElCambioEsHoy",,,,"lower_bound: 25000, upper_bound: 29999","lower_bound: 100000, upper_bound: 124999",CLP,"{""age"":""45-54"",""gender"":""male"",""percentage"":0.117253},{""age"":""55-64"",""gender"":""male"",""percentage"":0.097733},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000592},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001117},{""age"":""25-34"",""gender"":""unknown"",""percentage"":6.6e-5},{""age"":""18-24"",""gender"":""female"",""percentage"":0.0023},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001052},{""age"":""18-24"",""gender"":""male"",""percentage"":0.002958},{""age"":""65+"",""gender"":""female"",""percentage"":0.06487},{""age"":""35-44"",""gender"":""female"",""percentage"":0.113704},{""age"":""65+"",""gender"":""male"",""percentage"":0.03628},{""age"":""35-44"",""gender"":""male"",""percentage"":0.11837},{""age"":""55-64"",""gender"":""female"",""percentage"":0.133618},{""age"":""45-54"",""gender"":""female"",""percentage"":0.142425},{""age"":""25-34"",""gender"":""male"",""percentage"":0.089648},{""age"":""25-34"",""gender"":""female"",""percentage"":0.077686},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000329}","{""region"":""Los R\u00edos Region"",""percentage"":0.765858},{""region"":""Arica y Parinacota Region"",""percentage"":0.0019},{""region"":""Valpara\u00edso Region"",""percentage"":0.012123},{""region"":""Ays\u00e9n Region"",""percentage"":0.001573},{""region"":""Antofagasta Region"",""percentage"":0.005505},{""region"":""Araucan\u00eda Region"",""percentage"":0.016972},{""region"":""Atacama Region"",""percentage"":0.002425},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.018676},{""region"":""Coquimbo Region"",""percentage"":0.003997},{""region"":""O'Higgins Region"",""percentage"":0.007274},{""region"":""Los Lagos Region"",""percentage"":0.062582},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.005177},{""region"":""Maule Region"",""percentage"":0.009174},{""region"":""Santiago Metropolitan Region"",""percentage"":0.083159},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.003604}",facebook,"lower_bound: 10001, upper_bound: 50000",es
625677848881586,386634201382499,"Marco Enriquez-Ominami",2021-11-17,2021-11-17,2021-11-19,"Partido Progresista de Chile - PRO","GRACIAS LO ESPEJO

Gracias #LoEspejo por tremendo recibimiento. Miles se están sumando todavía en todo Chile. Este domingo vota en conciencia por la persona que creen está mejor preparada para defender el cambio. #Vota6",,,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 200000, upper_bound: 249999",CLP,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000255},{""age"":""25-34"",""gender"":""male"",""percentage"":0.051359},{""age"":""18-24"",""gender"":""unknown"",""percentage"":6.4e-5},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001527},{""age"":""18-24"",""gender"":""female"",""percentage"":0.002673},{""age"":""65+"",""gender"":""male"",""percentage"":0.05575},{""age"":""65+"",""gender"":""female"",""percentage"":0.097944},{""age"":""35-44"",""gender"":""male"",""percentage"":0.098454},{""age"":""45-54"",""gender"":""male"",""percentage"":0.116782},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.0014},{""age"":""55-64"",""gender"":""female"",""percentage"":0.171641},{""age"":""35-44"",""gender"":""female"",""percentage"":0.091898},{""age"":""25-34"",""gender"":""female"",""percentage"":0.036339},{""age"":""55-64"",""gender"":""male"",""percentage"":0.125247},{""age"":""45-54"",""gender"":""female"",""percentage"":0.14453},{""age"":""18-24"",""gender"":""male"",""percentage"":0.002991},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000955},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000191}","{""region"":""Los R\u00edos Region"",""percentage"":0.004776},{""region"":""Arica y Parinacota Region"",""percentage"":0.002259},{""region"":""Valpara\u00edso Region"",""percentage"":0.02911},{""region"":""Ays\u00e9n Region"",""percentage"":0.001355},{""region"":""Antofagasta Region"",""percentage"":0.007423},{""region"":""Araucan\u00eda Region"",""percentage"":0.014394},{""region"":""Atacama Region"",""percentage"":0.003615},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.027109},{""region"":""Coquimbo Region"",""percentage"":0.009036},{""region"":""O'Higgins Region"",""percentage"":0.016717},{""region"":""Los Lagos Region"",""percentage"":0.010069},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.002582},{""region"":""Maule Region"",""percentage"":0.018524},{""region"":""Santiago Metropolitan Region"",""percentage"":0.849093},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.003937}",facebook,"lower_bound: 10001, upper_bound: 50000",es
450893506452812,386634201382499,"Marco Enriquez-Ominami",2021-11-17,2021-11-18,2021-11-18,"Partido Progresista de Chile - PRO","Más de 15 años recorriendo Chile, mirándolos a los ojos, y escuchando sus ideas. A 4 días de la elección les pido que perseveremos juntos, no nos resignemos a los candidatos que las encuestas quieren imponer. Ayúdanos a conquistar más votos, y este domingo hagamos juntos historia. #ElCambioEsHoy y por eso #Vota6.",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",CLP,,,instagram,"lower_bound: 100001, upper_bound: 500000",es
285747883436693,386634201382499,"Marco Enriquez-Ominami",2021-11-17,2021-11-18,2021-11-18,"Partido Progresista de Chile - PRO","15 AÑOS EMPUJANDO JUNTOS EL CAMBIO

Más de 15 años recorriendo Chile, mirándolos a los ojos, y escuchando sus ideas. A 4 días de la elección les pido que perseveremos juntos, no nos resignemos a los candidatos que las encuestas quieren imponer. Ayúdanos a conquistar más votos, y este domingo hagamos juntos historia. #ElCambioEsHoy y por eso #Vota6.",,,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 175000, upper_bound: 199999",CLP,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000156},{""age"":""18-24"",""gender"":""female"",""percentage"":0.015443},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001986},{""age"":""18-24"",""gender"":""male"",""percentage"":0.019014},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000759},{""age"":""65+"",""gender"":""female"",""percentage"":0.075965},{""age"":""65+"",""gender"":""male"",""percentage"":0.047356},{""age"":""45-54"",""gender"":""male"",""percentage"":0.119549},{""age"":""25-34"",""gender"":""female"",""percentage"":0.064048},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001094},{""age"":""35-44"",""gender"":""female"",""percentage"":0.103392},{""age"":""25-34"",""gender"":""male"",""percentage"":0.090716},{""age"":""35-44"",""gender"":""male"",""percentage"":0.113323},{""age"":""55-64"",""gender"":""male"",""percentage"":0.093975},{""age"":""55-64"",""gender"":""female"",""percentage"":0.127672},{""age"":""45-54"",""gender"":""female"",""percentage"":0.12245},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002299},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000803}","{""region"":""Los R\u00edos Region"",""percentage"":0.020115},{""region"":""Arica y Parinacota Region"",""percentage"":0.02391},{""region"":""Valpara\u00edso Region"",""percentage"":0.111156},{""region"":""Ays\u00e9n Region"",""percentage"":0.006028},{""region"":""Antofagasta Region"",""percentage"":0.038354},{""region"":""Araucan\u00eda Region"",""percentage"":0.052285},{""region"":""Atacama Region"",""percentage"":0.021767},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.126984},{""region"":""Coquimbo Region"",""percentage"":0.05137},{""region"":""O'Higgins Region"",""percentage"":0.055477},{""region"":""Los Lagos Region"",""percentage"":0.056482},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.015002},{""region"":""Maule Region"",""percentage"":0.074052},{""region"":""Santiago Metropolitan Region"",""percentage"":0.318889},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.028129}",facebook,"lower_bound: 500001, upper_bound: 1000000",es
575528463521216,386634201382499,"Marco Enriquez-Ominami",2021-11-17,2021-11-17,2021-11-18,"Partido Progresista de Chile - PRO","GRACIAS PUENTE ALTO

¡Gracias #PuenteAlto! Se siguen sumando corazones y votos a esta campaña, este domingo vamos a defender el cambio, porque somos los más preparados para enfrentar a la ultraderecha. Con Kast o con Boric habrá caos e inestabilidad. Ganemos juntos este domingo, #Vota6.",,,,"lower_bound: 45000, upper_bound: 49999","lower_bound: 200000, upper_bound: 249999",CLP,"{""age"":""35-44"",""gender"":""male"",""percentage"":0.079878},{""age"":""65+"",""gender"":""male"",""percentage"":0.043303},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000323},{""age"":""18-24"",""gender"":""unknown"",""percentage"":3.2e-5},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000517},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000647},{""age"":""18-24"",""gender"":""female"",""percentage"":0.02115},{""age"":""25-34"",""gender"":""female"",""percentage"":0.081592},{""age"":""55-64"",""gender"":""male"",""percentage"":0.072699},{""age"":""45-54"",""gender"":""male"",""percentage"":0.067492},{""age"":""25-34"",""gender"":""male"",""percentage"":0.109534},{""age"":""35-44"",""gender"":""female"",""percentage"":0.092361},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001455},{""age"":""55-64"",""gender"":""female"",""percentage"":0.167195},{""age"":""45-54"",""gender"":""female"",""percentage"":0.135502},{""age"":""65+"",""gender"":""female"",""percentage"":0.098312},{""age"":""18-24"",""gender"":""male"",""percentage"":0.0271},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000906}","{""region"":""Los R\u00edos Region"",""percentage"":0.005867},{""region"":""Arica y Parinacota Region"",""percentage"":0.003462},{""region"":""Valpara\u00edso Region"",""percentage"":0.026192},{""region"":""Ays\u00e9n Region"",""percentage"":0.001026},{""region"":""Antofagasta Region"",""percentage"":0.00561},{""region"":""Araucan\u00eda Region"",""percentage"":0.015965},{""region"":""Atacama Region"",""percentage"":0.003334},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.029141},{""region"":""Coquimbo Region"",""percentage"":0.009008},{""region"":""O'Higgins Region"",""percentage"":0.013721},{""region"":""Los Lagos Region"",""percentage"":0.011092},{""region"":""Maule Region"",""percentage"":0.019844},{""region"":""Santiago Metropolitan Region"",""percentage"":0.8508},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.001988},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.002949}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",es
635230104335776,386634201382499,"Marco Enriquez-Ominami",2021-11-17,2021-11-18,2021-11-19,"Partido Progresista de Chile - PRO","¡6 propuestas para cambiar Chile!

Súmate y #vota6 

#ElCambioEsHoy",,,,"lower_bound: 80000, upper_bound: 89999","lower_bound: 400000, upper_bound: 449999",CLP,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000846},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001835},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000335},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001165},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001867},{""age"":""65+"",""gender"":""female"",""percentage"":0.060612},{""age"":""45-54"",""gender"":""female"",""percentage"":0.13506},{""age"":""55-64"",""gender"":""female"",""percentage"":0.127208},{""age"":""45-54"",""gender"":""male"",""percentage"":0.110372},{""age"":""18-24"",""gender"":""female"",""percentage"":0.015129},{""age"":""25-34"",""gender"":""male"",""percentage"":0.12515},{""age"":""18-24"",""gender"":""male"",""percentage"":0.027864},{""age"":""65+"",""gender"":""male"",""percentage"":0.037248},{""age"":""35-44"",""gender"":""female"",""percentage"":0.095067},{""age"":""55-64"",""gender"":""male"",""percentage"":0.080943},{""age"":""35-44"",""gender"":""male"",""percentage"":0.113851},{""age"":""25-34"",""gender"":""female"",""percentage"":0.064538},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00091}","{""region"":""Los R\u00edos Region"",""percentage"":0.021364},{""region"":""Arica y Parinacota Region"",""percentage"":0.02108},{""region"":""Valpara\u00edso Region"",""percentage"":0.133886},{""region"":""Ays\u00e9n Region"",""percentage"":0.005306},{""region"":""Antofagasta Region"",""percentage"":0.040755},{""region"":""Araucan\u00eda Region"",""percentage"":0.053577},{""region"":""Atacama Region"",""percentage"":0.020212},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.137391},{""region"":""Coquimbo Region"",""percentage"":0.042476},{""region"":""O'Higgins Region"",""percentage"":0.052929},{""region"":""Los Lagos Region"",""percentage"":0.057035},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.01699},{""region"":""Maule Region"",""percentage"":0.059877},{""region"":""Santiago Metropolitan Region"",""percentage"":0.314195},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.022928}",facebook,"lower_bound: 500001, upper_bound: 1000000",es
326555548827602,386634201382499,"Marco Enriquez-Ominami",2021-11-16,2021-11-17,2021-11-17,,"¿Con qué derecho Kast se mete en la decisión de las mujeres de casarse? Es una violencia lo que hace,ofende al país y a mí también me ofende porque soy hijo de una mujer no casada.

#DebateAnatel 
#MarcoDebate",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 15000, upper_bound: 19999",CLP,"{""age"":""25-34"",""gender"":""female"",""percentage"":0.165111},{""age"":""45-54"",""gender"":""female"",""percentage"":0.205405},{""age"":""65+"",""gender"":""female"",""percentage"":0.16855},{""age"":""35-44"",""gender"":""female"",""percentage"":0.186732},{""age"":""55-64"",""gender"":""female"",""percentage"":0.220639},{""age"":""18-24"",""gender"":""female"",""percentage"":0.053563}","{""region"":""Los R\u00edos Region"",""percentage"":0.02839},{""region"":""Arica y Parinacota Region"",""percentage"":0.016642},{""region"":""Valpara\u00edso Region"",""percentage"":0.101811},{""region"":""Ays\u00e9n Region"",""percentage"":0.005384},{""region"":""Antofagasta Region"",""percentage"":0.026432},{""region"":""Araucan\u00eda Region"",""percentage"":0.027411},{""region"":""Atacama Region"",""percentage"":0.0186},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.077827},{""region"":""Coquimbo Region"",""percentage"":0.039648},{""region"":""O'Higgins Region"",""percentage"":0.033284},{""region"":""Los Lagos Region"",""percentage"":0.042095},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.013705},{""region"":""Maule Region"",""percentage"":0.038179},{""region"":""Santiago Metropolitan Region"",""percentage"":0.500734},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.029858}",facebook,"lower_bound: 10001, upper_bound: 50000",es
417967353069463,386634201382499,"Marco Enriquez-Ominami",2021-11-16,2021-11-16,2021-11-17,"Partido Progresista de Chile - PRO","Por la justicia, por la democracia, y para proteger tus libertades, perseveremos juntos y cambiemos Chile. Este domingo #Vota6, porque #ElCambioEsHoy",,,,"lower_bound: 60000, upper_bound: 69999","lower_bound: 200000, upper_bound: 249999",CLP,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000551},{""age"":""55-64"",""gender"":""male"",""percentage"":0.097098},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001181},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001162},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00191},{""age"":""18-24"",""gender"":""female"",""percentage"":0.015533},{""age"":""65+"",""gender"":""male"",""percentage"":0.045832},{""age"":""65+"",""gender"":""female"",""percentage"":0.080817},{""age"":""45-54"",""gender"":""female"",""percentage"":0.127082},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001693},{""age"":""25-34"",""gender"":""male"",""percentage"":0.085207},{""age"":""35-44"",""gender"":""female"",""percentage"":0.095464},{""age"":""25-34"",""gender"":""female"",""percentage"":0.060598},{""age"":""35-44"",""gender"":""male"",""percentage"":0.106253},{""age"":""55-64"",""gender"":""female"",""percentage"":0.148581},{""age"":""45-54"",""gender"":""male"",""percentage"":0.111115},{""age"":""18-24"",""gender"":""male"",""percentage"":0.019687},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000236}","{""region"":""Los R\u00edos Region"",""percentage"":0.023317},{""region"":""Arica y Parinacota Region"",""percentage"":0.027022},{""region"":""Valpara\u00edso Region"",""percentage"":0.113858},{""region"":""Ays\u00e9n Region"",""percentage"":0.006492},{""region"":""Antofagasta Region"",""percentage"":0.042053},{""region"":""Araucan\u00eda Region"",""percentage"":0.049579},{""region"":""Atacama Region"",""percentage"":0.022557},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.118985},{""region"":""Coquimbo Region"",""percentage"":0.044334},{""region"":""O'Higgins Region"",""percentage"":0.057124},{""region"":""Los Lagos Region"",""percentage"":0.056773},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.015129},{""region"":""Maule Region"",""percentage"":0.074437},{""region"":""Santiago Metropolitan Region"",""percentage"":0.320693},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.027646}",facebook,"lower_bound: 500001, upper_bound: 1000000",es
1854414414946792,386634201382499,"Marco Enriquez-Ominami",2021-11-16,2021-11-17,2021-11-18,"Partido Progresista de Chile - PRO","🎵 Marco por ti, marco por mí, Chile tiene que cambiar 🎶

Gracias Chile por perseveran conmigo en esta lucha por lograr el cambio. Por un país justo #ElCambioEsHoy #Vota6.",,,,"lower_bound: 60000, upper_bound: 69999","lower_bound: 200000, upper_bound: 249999",CLP,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000853},{""age"":""45-54"",""gender"":""female"",""percentage"":0.128885},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001512},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000426},{""age"":""35-44"",""gender"":""male"",""percentage"":0.093907},{""age"":""18-24"",""gender"":""female"",""percentage"":0.011646},{""age"":""55-64"",""gender"":""female"",""percentage"":0.163747},{""age"":""25-34"",""gender"":""female"",""percentage"":0.052787},{""age"":""45-54"",""gender"":""male"",""percentage"":0.113809},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001744},{""age"":""55-64"",""gender"":""male"",""percentage"":0.110224},{""age"":""65+"",""gender"":""male"",""percentage"":0.052186},{""age"":""25-34"",""gender"":""male"",""percentage"":0.071351},{""age"":""65+"",""gender"":""female"",""percentage"":0.094314},{""age"":""35-44"",""gender"":""female"",""percentage"":0.088404},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00095},{""age"":""18-24"",""gender"":""male"",""percentage"":0.013158},{""age"":""18-24"",""gender"":""unknown"",""percentage"":9.7e-5}","{""region"":""Los R\u00edos Region"",""percentage"":0.025256},{""region"":""Arica y Parinacota Region"",""percentage"":0.026934},{""region"":""Valpara\u00edso Region"",""percentage"":0.104497},{""region"":""Ays\u00e9n Region"",""percentage"":0.007241},{""region"":""Antofagasta Region"",""percentage"":0.040635},{""region"":""Araucan\u00eda Region"",""percentage"":0.052053},{""region"":""Atacama Region"",""percentage"":0.024241},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.131997},{""region"":""Coquimbo Region"",""percentage"":0.047154},{""region"":""O'Higgins Region"",""percentage"":0.056367},{""region"":""Los Lagos Region"",""percentage"":0.062495},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.015341},{""region"":""Maule Region"",""percentage"":0.079827},{""region"":""Santiago Metropolitan Region"",""percentage"":0.29731},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.028652}",facebook,"lower_bound: 500001, upper_bound: 1000000",es
