ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
419902386409941,669777673091551,"Yasna Provoste Campillay",2021-11-18,2021-11-18,2021-11-18,"Yasna Provoste Campillay","El diputado Gastón Saavedra vota por un Chile que recupere la paz, los empleos, con barrios más seguros y salud y educación de calidad para todos y todas.
Para juntos y juntas unir y sanar a Chile, vota 3, vota #AhoraYasna.
¡Muchas gracias por tu apoyo y respaldo diputado Saavedra!","Biobío con Yasna",yasnapresidenta.cl,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 10000, upper_bound: 14999",CLP,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002859},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.011435},{""age"":""45-54"",""gender"":""female"",""percentage"":0.119497},{""age"":""45-54"",""gender"":""male"",""percentage"":0.079474},{""age"":""35-44"",""gender"":""male"",""percentage"":0.283019},{""age"":""55-64"",""gender"":""female"",""percentage"":0.053173},{""age"":""35-44"",""gender"":""female"",""percentage"":0.342481},{""age"":""65+"",""gender"":""female"",""percentage"":0.030303},{""age"":""65+"",""gender"":""male"",""percentage"":0.047456},{""age"":""55-64"",""gender"":""male"",""percentage"":0.028016},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001144},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001144}","{""region"":""B\u00edo B\u00edo Region"",""percentage"":1}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",es
936433853916163,669777673091551,"Yasna Provoste Campillay",2021-11-18,2021-11-18,2021-11-19,"Yasna Provoste Campillay","El alcalde José Fica vota por un Chile que recupere la paz, los empleos, con barrios más seguros y salud y educación de calidad para todos y todas.
Para juntos y juntas unir y sanar a Chile, vota 3, vota #AhoraYasna.
¡Muchas gracias por tu apoyo y respaldo alcalde Fica!","O´Higgins con Yasna",yasnapresidenta.cl,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 7000, upper_bound: 7999",CLP,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000912},{""age"":""35-44"",""gender"":""female"",""percentage"":0.031905},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.020055},{""age"":""65+"",""gender"":""male"",""percentage"":0.049225},{""age"":""35-44"",""gender"":""male"",""percentage"":0.466727},{""age"":""45-54"",""gender"":""male"",""percentage"":0.255242},{""age"":""55-64"",""gender"":""male"",""percentage"":0.113036},{""age"":""45-54"",""gender"":""female"",""percentage"":0.02917},{""age"":""65+"",""gender"":""female"",""percentage"":0.005469},{""age"":""55-64"",""gender"":""female"",""percentage"":0.023701},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000912},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003646}","{""region"":""Ays\u00e9n Region"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",es
288408019845846,669777673091551,"Yasna Provoste Campillay",2021-11-18,2021-11-18,2021-11-18,"Yasna Provoste Campillay","El alcalde Miguel Peña vota por un Chile que recupere la paz, los empleos, con barrios más seguros y salud y educación de calidad para todos y todas.
Para juntos y juntas unir y sanar a Chile, vota 3, vota #AhoraYasna.
¡Muchas gracias por tu apoyo y respaldo alcalde Miguel!","Quillón con Yasna",yasnapresidenta.cl,,"lower_bound: 0, upper_bound: 999","lower_bound: 2000, upper_bound: 2499",CLP,"{""age"":""55-64"",""gender"":""male"",""percentage"":0.052469},{""age"":""55-64"",""gender"":""female"",""percentage"":0.12037},{""age"":""65+"",""gender"":""female"",""percentage"":0.052469},{""age"":""35-44"",""gender"":""female"",""percentage"":0.203704},{""age"":""35-44"",""gender"":""male"",""percentage"":0.225309},{""age"":""65+"",""gender"":""male"",""percentage"":0.046296},{""age"":""45-54"",""gender"":""female"",""percentage"":0.166667},{""age"":""45-54"",""gender"":""male"",""percentage"":0.12037},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006173},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.006173}","{""region"":""B\u00edo B\u00edo Region"",""percentage"":1}","facebook,instagram","lower_bound: 5001, upper_bound: 10000",es
3001721040078898,669777673091551,"Yasna Provoste Campillay",2021-11-18,2021-11-18,2021-11-19,"Yasna Provoste Campillay","El senador Ricardo Lagos Weber vota por un Chile que recupere la paz, los empleos, con barrios más seguros y salud y educación de calidad para todos y todas.
Para juntos y juntas unir y sanar a Chile, vota 3, vota #AhoraYasna.
¡Muchas gracias por tu apoyo y respaldo senador Lagos Weber!","Valparaíso con Yasna",yasnapresidenta.cl,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 10000, upper_bound: 14999",CLP,"{""age"":""55-64"",""gender"":""female"",""percentage"":0.049797},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001737},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.010423},{""age"":""45-54"",""gender"":""female"",""percentage"":0.116966},{""age"":""55-64"",""gender"":""male"",""percentage"":0.034742},{""age"":""35-44"",""gender"":""female"",""percentage"":0.320787},{""age"":""35-44"",""gender"":""male"",""percentage"":0.281413},{""age"":""65+"",""gender"":""female"",""percentage"":0.045744},{""age"":""65+"",""gender"":""male"",""percentage"":0.04806},{""age"":""45-54"",""gender"":""male"",""percentage"":0.088014},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002316}","{""region"":""Valpara\u00edso Region"",""percentage"":1}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",es
514533770041701,669777673091551,"Yasna Provoste Campillay",2021-11-18,2021-11-18,2021-11-18,"Yasna Provoste Campillay","Los concejales José Salcedo, Patricio Pinilla y Luis Medel, votan por un Chile que recupere la paz, los empleos, con barrios más seguros y salud y educación de calidad para todos y todas.
Para juntos y juntas unir y sanar a Chile, vota 3, vota #AhoraYasna.
¡Muchas gracias por su apoyo y respaldo queridos concejales de Los Angeles!","Los Ángeles con Yasna",yasnapresidenta.cl,,"lower_bound: 3000, upper_bound: 3999","lower_bound: 45000, upper_bound: 49999",CLP,"{""age"":""13-17"",""gender"":""male"",""percentage"":0.00027},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001619},{""age"":""55-64"",""gender"":""male"",""percentage"":0.021862},{""age"":""45-54"",""gender"":""male"",""percentage"":0.064238},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002969},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.007018},{""age"":""55-64"",""gender"":""female"",""percentage"":0.077463},{""age"":""65+"",""gender"":""female"",""percentage"":0.031849},{""age"":""35-44"",""gender"":""female"",""percentage"":0.37031},{""age"":""45-54"",""gender"":""female"",""percentage"":0.178138},{""age"":""35-44"",""gender"":""male"",""percentage"":0.223482},{""age"":""65+"",""gender"":""male"",""percentage"":0.020513},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00027}","{""region"":""B\u00edo B\u00edo Region"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",es
567436551221279,669777673091551,"Yasna Provoste Campillay",2021-11-18,2021-11-18,2021-11-18,"Yasna Provoste Campillay","El alcalde Victor Hugo Figueroa vota por un Chile que recupere la paz, los empleos, con barrios más seguros y salud y educación de calidad para todos y todas.
Para juntos y juntas unir y sanar a Chile, vota 3, vota #AhoraYasna.
¡Muchas gracias por tu apoyo y respaldo alcalde Victor Hugo!","Penco con Yasna",yasnapresidenta.cl,,"lower_bound: 0, upper_bound: 999","lower_bound: 1000, upper_bound: 1499",CLP,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006623},{""age"":""55-64"",""gender"":""female"",""percentage"":0.066225},{""age"":""35-44"",""gender"":""female"",""percentage"":0.337748},{""age"":""45-54"",""gender"":""male"",""percentage"":0.066225},{""age"":""65+"",""gender"":""female"",""percentage"":0.046358},{""age"":""45-54"",""gender"":""female"",""percentage"":0.099338},{""age"":""35-44"",""gender"":""male"",""percentage"":0.298013},{""age"":""55-64"",""gender"":""male"",""percentage"":0.019868},{""age"":""65+"",""gender"":""male"",""percentage"":0.05298},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.006623}","{""region"":""B\u00edo B\u00edo Region"",""percentage"":1}","facebook,instagram","lower_bound: 5001, upper_bound: 10000",es
221381373442537,669777673091551,"Yasna Provoste Campillay",2021-11-18,2021-11-18,2021-11-18,"Yasna Provoste Campillay","El alcalde Roberto Torres vota por un Chile que recupere la paz, los empleos, con barrios más seguros y salud y educación de calidad para todos y todas.
Para juntos y juntas unir y sanar a Chile, vota 3, vota #AhoraYasna.
¡Muchas gracias por tu apoyo y respaldo alcalde Torres!","Alhue con Yasna",yasnapresidenta.cl,,"lower_bound: 0, upper_bound: 999","lower_bound: 4000, upper_bound: 4499",CLP,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.345324},{""age"":""45-54"",""gender"":""male"",""percentage"":0.115108},{""age"":""35-44"",""gender"":""male"",""percentage"":0.302158},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.014388},{""age"":""45-54"",""gender"":""female"",""percentage"":0.122302},{""age"":""65+"",""gender"":""male"",""percentage"":0.014388},{""age"":""55-64"",""gender"":""male"",""percentage"":0.014388},{""age"":""65+"",""gender"":""female"",""percentage"":0.014388},{""age"":""55-64"",""gender"":""female"",""percentage"":0.057554}","{""region"":""Santiago Metropolitan Region"",""percentage"":1}","facebook,instagram","lower_bound: 1001, upper_bound: 5000",es
242169457980738,669777673091551,"Yasna Provoste Campillay",2021-11-17,2021-11-17,2021-11-18,"Yasna Provoste Campillay","Unos ofrecen orden sin cambios. Otros cambios sin orden. Ambos nos conducen a la incertidumbre. Nosotros queremos transformaciones profundas, en paz y tranquilidad. Los y las invito a un gran pacto nacional, a unirnos para sanarnos. Este 21, #vota3.

Comparto parte de nuestra participación en el #DebatePresidencial2021",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 500, upper_bound: 599",CLP,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.074899},{""age"":""25-34"",""gender"":""male"",""percentage"":0.3583},{""age"":""25-34"",""gender"":""female"",""percentage"":0.360324},{""age"":""55-64"",""gender"":""male"",""percentage"":0.002024},{""age"":""45-54"",""gender"":""female"",""percentage"":0.060729},{""age"":""35-44"",""gender"":""male"",""percentage"":0.062753},{""age"":""65+"",""gender"":""male"",""percentage"":0.018219},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004049},{""age"":""55-64"",""gender"":""female"",""percentage"":0.016194},{""age"":""65+"",""gender"":""female"",""percentage"":0.008097},{""age"":""45-54"",""gender"":""male"",""percentage"":0.032389},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002024}","{""region"":""Valpara\u00edso Region"",""percentage"":0.107287},{""region"":""Antofagasta Region"",""percentage"":0.036437},{""region"":""Araucan\u00eda Region"",""percentage"":0.038462},{""region"":""Atacama Region"",""percentage"":0.020243},{""region"":""Coquimbo Region"",""percentage"":0.032389},{""region"":""Santiago Metropolitan Region"",""percentage"":0.425101},{""region"":""Los R\u00edos Region"",""percentage"":0.022267},{""region"":""Arica y Parinacota Region"",""percentage"":0.012146},{""region"":""Ays\u00e9n Region"",""percentage"":0.006073},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.119433},{""region"":""O'Higgins Region"",""percentage"":0.038462},{""region"":""Los Lagos Region"",""percentage"":0.048583},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.01417},{""region"":""Maule Region"",""percentage"":0.066802},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.012146}","facebook,instagram","lower_bound: 1000001",es
1238422559902710,669777673091551,"Yasna Provoste Campillay",2021-11-17,2021-11-17,2021-11-19,"Yasna Provoste Campillay","¡Gran cierre de campaña! Todas y todos invitados a participar de nuestro acto final de campaña.

Este jueves 18, desde las 19:00 horas, las y los esperamos en la Plaza de Armas de Concepción y para todo Chile, nos vemos a través de nuestra señal de Facebook Live.

Este domingo 21 de noviembre #Vota3. #AhoraYasna",,,,"lower_bound: 200000, upper_bound: 249999","lower_bound: 200000, upper_bound: 249999",CLP,"{""age"":""65+"",""gender"":""unknown"",""percentage"":6.9e-5},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001462},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001005},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000179},{""age"":""55-64"",""gender"":""male"",""percentage"":0.028708},{""age"":""35-44"",""gender"":""male"",""percentage"":0.110714},{""age"":""25-34"",""gender"":""female"",""percentage"":0.253492},{""age"":""45-54"",""gender"":""male"",""percentage"":0.062229},{""age"":""55-64"",""gender"":""female"",""percentage"":0.056417},{""age"":""45-54"",""gender"":""female"",""percentage"":0.102429},{""age"":""35-44"",""gender"":""female"",""percentage"":0.180055},{""age"":""25-34"",""gender"":""male"",""percentage"":0.176282},{""age"":""65+"",""gender"":""male"",""percentage"":0.009573},{""age"":""65+"",""gender"":""female"",""percentage"":0.016564},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00082}","{""region"":""Los R\u00edos Region"",""percentage"":0.034744},{""region"":""Arica y Parinacota Region"",""percentage"":0.019953},{""region"":""Valpara\u00edso Region"",""percentage"":0.100309},{""region"":""Ays\u00e9n Region"",""percentage"":0.010921},{""region"":""Antofagasta Region"",""percentage"":0.047067},{""region"":""Araucan\u00eda Region"",""percentage"":0.078549},{""region"":""Atacama Region"",""percentage"":0.026813},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.153129},{""region"":""Coquimbo Region"",""percentage"":0.052252},{""region"":""O'Higgins Region"",""percentage"":0.063903},{""region"":""Los Lagos Region"",""percentage"":0.088757},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.019686},{""region"":""Maule Region"",""percentage"":0.084116},{""region"":""Santiago Metropolitan Region"",""percentage"":0.189014},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.030787}","facebook,instagram","lower_bound: 1000001",es
303886328223641,669777673091551,"Yasna Provoste Campillay",2021-11-17,2021-11-17,2021-11-18,"Yasna Provoste Campillay","Me senté en el ""Sillón de los Presidenciables"" de @[122231104112:274:24horas.cl] para conversar de nuestras propuestas de gobierno, anécdotas de campaña y el Chile de unidad y paz que soñamos.

Las y los invito a ver esta entretenida entrevista 📺. #AhoraYasna #Vota3",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 800, upper_bound: 899",CLP,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.416},{""age"":""25-34"",""gender"":""female"",""percentage"":0.392},{""age"":""55-64"",""gender"":""male"",""percentage"":0.0032},{""age"":""35-44"",""gender"":""female"",""percentage"":0.0784},{""age"":""35-44"",""gender"":""male"",""percentage"":0.0688},{""age"":""65+"",""gender"":""female"",""percentage"":0.0048},{""age"":""55-64"",""gender"":""female"",""percentage"":0.0048},{""age"":""45-54"",""gender"":""female"",""percentage"":0.0112},{""age"":""45-54"",""gender"":""male"",""percentage"":0.0096},{""age"":""65+"",""gender"":""male"",""percentage"":0.0064},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.0032},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.0016}","{""region"":""Los R\u00edos Region"",""percentage"":0.0256},{""region"":""Valpara\u00edso Region"",""percentage"":0.1008},{""region"":""B\u00edo B\u00edo Region"",""percentage"":0.1792},{""region"":""O'Higgins Region"",""percentage"":0.048},{""region"":""Arica y Parinacota Region"",""percentage"":0.0112},{""region"":""Ays\u00e9n Region"",""percentage"":0.0112},{""region"":""Antofagasta Region"",""percentage"":0.0592},{""region"":""Araucan\u00eda Region"",""percentage"":0.0528},{""region"":""Atacama Region"",""percentage"":0.0208},{""region"":""Coquimbo Region"",""percentage"":0.0336},{""region"":""Los Lagos Region"",""percentage"":0.0448},{""region"":""Magallanes y la Ant\u00e1rtica Chilena Region"",""percentage"":0.0144},{""region"":""Maule Region"",""percentage"":0.0688},{""region"":""Santiago Metropolitan Region"",""percentage"":0.3104},{""region"":""Tarapac\u00e1 Region"",""percentage"":0.0192}","facebook,instagram","lower_bound: 1000001",es
